INFO 2025-12-09 20:47:57,132 autoreload Watching for file changes with StatReloader
WARNING 2025-12-09 20:48:05,210 log Not Found: /
WARNING 2025-12-09 20:48:05,211 basehttp "GET / HTTP/1.1" 404 3939
WARNING 2025-12-09 20:48:06,973 log Not Found: /favicon.ico
WARNING 2025-12-09 20:48:06,974 basehttp "GET /favicon.ico HTTP/1.1" 404 3990
INFO 2025-12-09 20:48:14,011 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-12-09 20:48:14,061 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4228
INFO 2025-12-09 20:48:14,303 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21310
INFO 2025-12-09 20:48:14,307 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-12-09 20:48:14,310 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-12-09 20:48:14,315 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
INFO 2025-12-09 20:48:14,321 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-12-09 20:48:14,325 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-12-09 20:48:14,330 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-12-09 20:48:22,981 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4431
INFO 2025-12-09 20:48:32,091 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-12-09 20:48:32,135 basehttp "GET /admin/ HTTP/1.1" 200 12390
INFO 2025-12-09 20:48:32,175 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-12-09 20:48:32,200 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-12-09 20:48:32,200 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-12-09 20:48:57,041 basehttp "GET /swagger/ HTTP/1.1" 200 2159
INFO 2025-12-09 20:48:57,100 basehttp "GET /static/drf-yasg/style.css HTTP/1.1" 200 1047
INFO 2025-12-09 20:48:57,101 basehttp "GET /static/drf-yasg/swagger-ui-init.js HTTP/1.1" 200 14964
INFO 2025-12-09 20:48:57,102 basehttp "GET /static/drf-yasg/immutable.min.js HTTP/1.1" 200 56904
INFO 2025-12-09 20:48:57,103 basehttp "GET /static/drf-yasg/swagger-ui-dist/swagger-ui.css HTTP/1.1" 200 145206
INFO 2025-12-09 20:48:57,108 basehttp "GET /static/drf-yasg/insQ.min.js HTTP/1.1" 200 2093
INFO 2025-12-09 20:48:57,109 basehttp "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-standalone-preset.js HTTP/1.1" 200 322863
INFO 2025-12-09 20:48:57,119 basehttp "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-bundle.js HTTP/1.1" 200 1046583
INFO 2025-12-09 20:48:57,383 basehttp "GET /static/drf-yasg/swagger-ui-dist/favicon-32x32.png HTTP/1.1" 200 628
INFO 2025-12-09 20:48:57,747 basehttp "GET /swagger/?format=openapi HTTP/1.1" 200 137007
INFO 2025-12-09 20:49:20,124 basehttp "GET /redoc/ HTTP/1.1" 200 929
INFO 2025-12-09 20:49:20,170 basehttp "GET /static/drf-yasg/redoc-init.js HTTP/1.1" 200 2566
INFO 2025-12-09 20:49:20,177 basehttp "GET /static/drf-yasg/redoc/redoc.min.js HTTP/1.1" 200 1042511
INFO 2025-12-09 20:49:20,606 basehttp "GET /redoc/?format=openapi HTTP/1.1" 200 137007
INFO 2025-12-09 20:49:20,607 basehttp "GET /static/drf-yasg/redoc/redoc-logo.png HTTP/1.1" 200 4969
INFO 2025-12-09 20:49:41,614 basehttp "GET /api/schema HTTP/1.1" 301 0
